eventID,totalE_units,totalMIPs,energy_GeV
327,9.712978998670e+03,9.986043794907e+02,1.062264897250e+01
328,9.135439187903e+03,8.774244279546e+02,9.333597858656e+00
329,8.955920451204e+03,9.036227100747e+02,9.612281950534e+00
330,9.625916804737e+03,9.404666801641e+02,1.000420949366e+01
331,9.703195630740e+03,1.028633166601e+03,1.094208004160e+01
332,9.841092104154e+03,1.073513271631e+03,1.141949192900e+01
333,9.744911594388e+03,1.010581187169e+03,1.075005220284e+01
334,9.612155885107e+03,1.033388330165e+03,1.099266306965e+01
335,8.950118073987e+03,8.026940171874e+02,8.538653496849e+00
336,8.387207617403e+03,7.739086826453e+02,8.232449648081e+00
337,9.099792090065e+03,8.101815850397e+02,8.618302461531e+00
338,9.085188783632e+03,9.295231092079e+02,9.887797313665e+00
339,9.094419629345e+03,8.700294300725e+02,9.254933606558e+00
340,9.147251033059e+03,8.814802186978e+02,9.376741311914e+00
341,9.023530897271e+03,8.624344636743e+02,9.174142190394e+00
342,8.747111954555e+03,8.281127408639e+02,8.809045039777e+00
343,8.403167453294e+03,7.656392365983e+02,8.144483458108e+00
344,9.068246215238e+03,9.037930674802e+02,9.614094126562e+00
345,9.161893960394e+03,9.100450560663e+02,9.680599623128e+00
346,9.180744413783e+03,8.746287138254e+02,9.303858463925e+00
347,9.120074620032e+03,9.455921495611e+02,1.005873164812e+01
348,9.001710332139e+03,8.483076162915e+02,9.023867923710e+00
349,8.635716798957e+03,7.796258008422e+02,8.293265463621e+00
350,9.043448031518e+03,7.655487952558e+02,8.143521388791e+00
351,9.625477366993e+03,1.000259914939e+03,1.064025972235e+01
352,9.745587859080e+03,1.001255885585e+03,1.065085435499e+01
353,9.740843946445e+03,1.043760080971e+03,1.110299251573e+01
354,9.727001332054e+03,9.341220301151e+02,9.936718311262e+00
355,9.643735703984e+03,9.454991593838e+02,1.005774246559e+01
356,8.983350787807e+03,8.185699604897e+02,8.707533762420e+00
357,9.312363196628e+03,8.336483963161e+02,8.867930546299e+00
358,9.733067530607e+03,1.000571493057e+03,1.064357413299e+01
359,9.863148310813e+03,1.059696809463e+03,1.127251938345e+01
360,9.871273575965e+03,1.054384975128e+03,1.121601477291e+01
361,9.845490589288e+03,1.038539216974e+03,1.104745560170e+01
362,9.724153261526e+03,1.018193227966e+03,1.083102524783e+01
363,9.090788622622e+03,9.103444931571e+02,9.683784883648e+00
364,9.205144131159e+03,8.945252453808e+02,9.515507716445e+00
365,9.747737330181e+03,1.055747108944e+03,1.123050446441e+01
366,9.865096795683e+03,1.058386867896e+03,1.125858488674e+01
367,9.895973393588e+03,1.049220206742e+03,1.116107457566e+01
368,9.858161917169e+03,1.107906189618e+03,1.178534641794e+01
369,9.730801390363e+03,9.346107418037e+02,9.941916979346e+00
370,9.095053542674e+03,8.982308927550e+02,9.554926521410e+00
371,9.047267152724e+03,9.206099132847e+02,9.792983237681e+00
372,9.728351261274e+03,9.779696767949e+02,1.040314742825e+01
373,9.866074857214e+03,1.066960453572e+03,1.134978636046e+01
374,9.858149897015e+03,1.005355135951e+03,1.069446010978e+01
375,9.851854208170e+03,9.634779238551e+02,1.024899148058e+01
376,9.749263604308e+03,1.002298600254e+03,1.066194622695e+01
377,9.068704219321e+03,8.722793544965e+02,9.278867166096e+00
378,8.971991228351e+03,9.040416319248e+02,9.616738229569e+00
379,9.648369964497e+03,9.407814390803e+02,1.000755774002e+01
380,9.796550762680e+03,1.040468414323e+03,1.106797742862e+01
381,9.770481925721e+03,1.062970045580e+03,1.130733841588e+01
382,9.741678817834e+03,1.011201261897e+03,1.075664824458e+01
383,9.656022785854e+03,1.043788387866e+03,1.110329363019e+01
384,9.153310056327e+03,8.234462689078e+02,8.759405468243e+00
385,8.652052277533e+03,7.996769523861e+02,8.506559485478e+00
386,9.077647132538e+03,8.085628627073e+02,8.601083311011e+00
387,9.145772825748e+03,9.356607298206e+02,9.953086221499e+00
388,9.047284443426e+03,8.671378979654e+02,9.224174948578e+00
389,9.133920304569e+03,8.811198311157e+02,9.372907690855e+00
390,8.934822769055e+03,8.530975709834e+02,9.074821042214e+00
391,8.775091906969e+03,8.304299484717e+02,8.833694323838e+00
392,8.706694995858e+03,7.963629485727e+02,8.471306786885e+00
393,9.021737381549e+03,8.971696037341e+02,9.543637064885e+00
394,9.002499346522e+03,8.942983269979e+02,9.513093873309e+00
395,9.171885548665e+03,8.718826503646e+02,9.274647227923e+00
396,9.052092990168e+03,9.385268162497e+02,9.983574201210e+00
397,9.194431944608e+03,8.669398156959e+02,9.222067849450e+00
398,8.737215711485e+03,7.890710641754e+02,8.393739403954e+00
399,9.172715218017e+03,7.733367291230e+02,8.226365495417e+00
400,9.702189580799e+03,1.007287978528e+03,1.071502071279e+01
401,9.707734785226e+03,9.992693900914e+02,1.062972301936e+01
402,9.699635121499e+03,1.036481573386e+03,1.102556742858e+01
403,9.796825099761e+03,9.376209016292e+02,9.973937539074e+00
404,9.624341588650e+03,9.453395173643e+02,1.005604427443e+01
405,9.079123358055e+03,8.291000002040e+02,8.819547005951e+00
406,9.098795431683e+03,8.165018406214e+02,8.685534147912e+00
407,9.755956890894e+03,1.004549662669e+03,1.068589189186e+01
408,9.829560719705e+03,1.055809142873e+03,1.123116435001e+01
409,9.877188645163e+03,1.054258362344e+03,1.121466793007e+01
410,9.834477889146e+03,1.036565896481e+03,1.102646441507e+01
411,9.713755673679e+03,1.016766085750e+03,1.081584402981e+01
412,9.190503038901e+03,9.190771223622e+02,9.776678182093e+00
413,9.235094127750e+03,9.003310391213e+02,9.577266817625e+00
414,9.698616870253e+03,1.047305759958e+03,1.114070965779e+01
415,9.894687873921e+03,1.060379994668e+03,1.127978676256e+01
416,9.890276404381e+03,1.046812639161e+03,1.113546408784e+01
417,9.840900287453e+03,1.104258948579e+03,1.174654891007e+01
418,9.791601817090e+03,9.396859869550e+02,9.995904873651e+00
419,8.919424014528e+03,8.810259016309e+02,9.371908516443e+00
420,9.013491766332e+03,9.177796341034e+02,9.762876157384e+00
421,9.780087986471e+03,9.834878104564e+02,1.046184654682e+01
422,9.853037415126e+03,1.065432857349e+03,1.133353656346e+01
423,9.878346961203e+03,1.007946829732e+03,1.072202923910e+01
